Date,FID,AgeType,AgeGroup,Cases
2020-02-27,1,Age.D7.,1_4,0
2020-02-27,1,Age.D7.,5_14,0
2020-02-27,1,Age.D7.,15_24,0
2020-02-27,1,Age.D7.,25_34,0
2020-02-27,1,Age.D7.,35_44,0
2020-02-27,1,Age.D7.,45_54,0
2020-02-27,1,Age.D7.,55_64,0
2020-02-27,1,Age.D7.,65plus,0
2020-03-01,2,Age.D7.,1_4,0
2020-03-01,2,Age.D7.,5_14,0
2020-03-01,2,Age.D7.,15_24,0
2020-03-01,2,Age.D7.,25_34,0
2020-03-01,2,Age.D7.,35_44,0
2020-03-01,2,Age.D7.,45_54,0
2020-03-01,2,Age.D7.,55_64,0
2020-03-01,2,Age.D7.,65plus,0
2020-03-02,3,Age.D7.,1_4,0
2020-03-02,3,Age.D7.,5_14,0
2020-03-02,3,Age.D7.,15_24,0
2020-03-02,3,Age.D7.,25_34,0
2020-03-02,3,Age.D7.,35_44,0
2020-03-02,3,Age.D7.,45_54,0
2020-03-02,3,Age.D7.,55_64,0
2020-03-02,3,Age.D7.,65plus,0
2020-03-03,4,Age.D7.,1_4,0
2020-03-03,4,Age.D7.,5_14,0
2020-03-03,4,Age.D7.,15_24,0
2020-03-03,4,Age.D7.,25_34,0
2020-03-03,4,Age.D7.,35_44,0
2020-03-03,4,Age.D7.,45_54,0
2020-03-03,4,Age.D7.,55_64,0
2020-03-03,4,Age.D7.,65plus,0
2020-03-04,5,Age.D7.,1_4,0
2020-03-04,5,Age.D7.,5_14,0
2020-03-04,5,Age.D7.,15_24,0
2020-03-04,5,Age.D7.,25_34,0
2020-03-04,5,Age.D7.,35_44,0
2020-03-04,5,Age.D7.,45_54,0
2020-03-04,5,Age.D7.,55_64,0
2020-03-04,5,Age.D7.,65plus,0
2020-03-05,6,Age.D7.,1_4,0
2020-03-05,6,Age.D7.,5_14,0
2020-03-05,6,Age.D7.,15_24,0
2020-03-05,6,Age.D7.,25_34,0
2020-03-05,6,Age.D7.,35_44,0
2020-03-05,6,Age.D7.,45_54,0
2020-03-05,6,Age.D7.,55_64,0
2020-03-05,6,Age.D7.,65plus,0
2020-03-17,18,Age.,1_4,1
2020-03-17,18,Age.D7.,1_4,1
2020-03-17,18,Age.,5_14,4
2020-03-17,18,Age.D7.,5_14,4
2020-03-17,18,Age.,15_24,10
2020-03-17,18,Age.D7.,15_24,10
2020-03-17,18,Age.,25_34,16
2020-03-17,18,Age.D7.,25_34,16
2020-03-17,18,Age.,35_44,16
2020-03-17,18,Age.D7.,35_44,16
2020-03-17,18,Age.,45_54,9
2020-03-17,18,Age.D7.,45_54,9
2020-03-17,18,Age.,55_64,8
2020-03-17,18,Age.D7.,55_64,8
2020-03-17,18,Age.,65plus,15
2020-03-17,18,Age.D7.,65plus,15
2020-03-18,19,Age.,1_4,0
2020-03-18,19,Age.D7.,1_4,0.5
2020-03-18,19,Age.,5_14,1
2020-03-18,19,Age.D7.,5_14,2.5
2020-03-18,19,Age.,15_24,9
2020-03-18,19,Age.D7.,15_24,9.5
2020-03-18,19,Age.,25_34,14
2020-03-18,19,Age.D7.,25_34,15
2020-03-18,19,Age.,35_44,18
2020-03-18,19,Age.D7.,35_44,17
2020-03-18,19,Age.,45_54,13
2020-03-18,19,Age.D7.,45_54,11
2020-03-18,19,Age.,55_64,15
2020-03-18,19,Age.D7.,55_64,11.5
2020-03-18,19,Age.,65plus,18
2020-03-18,19,Age.D7.,65plus,16.5
2020-03-19,20,Age.,1_4,2
2020-03-19,20,Age.D7.,1_4,1
2020-03-19,20,Age.,5_14,1
2020-03-19,20,Age.D7.,5_14,2
2020-03-19,20,Age.,15_24,9
2020-03-19,20,Age.D7.,15_24,9.333333333333334
2020-03-19,20,Age.,25_34,32
2020-03-19,20,Age.D7.,25_34,20.666666666666668
2020-03-19,20,Age.,35_44,25
2020-03-19,20,Age.D7.,35_44,19.666666666666668
2020-03-19,20,Age.,45_54,33
2020-03-19,20,Age.D7.,45_54,18.333333333333332
2020-03-19,20,Age.,55_64,16
2020-03-19,20,Age.D7.,55_64,13
2020-03-19,20,Age.,65plus,27
2020-03-19,20,Age.D7.,65plus,20
2020-03-20,21,Age.,1_4,1
2020-03-20,21,Age.D7.,1_4,1
2020-03-20,21,Age.,5_14,2
2020-03-20,21,Age.D7.,5_14,2
2020-03-20,21,Age.,15_24,7
2020-03-20,21,Age.D7.,15_24,8.75
2020-03-20,21,Age.,25_34,17
2020-03-20,21,Age.D7.,25_34,19.75
2020-03-20,21,Age.,35_44,28
2020-03-20,21,Age.D7.,35_44,21.75
2020-03-20,21,Age.,45_54,37
2020-03-20,21,Age.D7.,45_54,23
2020-03-20,21,Age.,55_64,16
2020-03-20,21,Age.D7.,55_64,13.75
2020-03-20,21,Age.,65plus,20
2020-03-20,21,Age.D7.,65plus,20
2020-03-21,22,Age.,1_4,0
2020-03-21,22,Age.D7.,1_4,0.8
2020-03-21,22,Age.,5_14,4
2020-03-21,22,Age.D7.,5_14,2.4
2020-03-21,22,Age.,15_24,6
2020-03-21,22,Age.D7.,15_24,8.2
2020-03-21,22,Age.,25_34,39
2020-03-21,22,Age.D7.,25_34,23.6
2020-03-21,22,Age.,35_44,16
2020-03-21,22,Age.D7.,35_44,20.6
2020-03-21,22,Age.,45_54,26
2020-03-21,22,Age.D7.,45_54,23.6
2020-03-21,22,Age.,55_64,16
2020-03-21,22,Age.D7.,55_64,14.2
2020-03-21,22,Age.,65plus,17
2020-03-21,22,Age.D7.,65plus,19.4
2020-03-22,23,Age.,1_4,0
2020-03-22,23,Age.D7.,1_4,0.6666666666666666
