t_start,t_end,Mean,Std,Quantile.0.025,Quantile.0.05,Quantile.0.25,Median,Quantile.0.75,Quantile.0.95,Quantile.0.975,t_mid,Date
2,8,10.819600087643654,10.320413189500407,1.7175305994810495,1.9115504388807791,3.4259062668557836,6.686657935118268,15.115258212778942,32.774560509358054,38.710805130475684,5,2020-03-06
3,9,6.628931138497587,5.378880086786533,1.7326983065256403,1.897153659200799,2.8012164799298036,4.460403565495959,8.853075706442286,18.490513566020653,21.20509628855516,6,2020-03-07
4,10,3.9867126618985402,2.3117812551629577,1.6867409118886005,1.8127681804660511,2.374600893038447,3.122615749410718,4.905848324771492,8.96712897753081,10.25119061378505,7,2020-03-08
5,11,3.993725339084979,1.3512775183611816,2.362764220475138,2.5019859119069685,3.036019902558198,3.601041133694382,4.588021049705852,6.833377409680829,7.498957511085267,8,2020-03-09
6,12,3.9554819393744496,0.8578873487968557,2.6197510816906853,2.7676988580870616,3.3361230136013607,3.8283603797799266,4.442887526304809,5.577975325973388,5.952232010954874,9,2020-03-10
7,13,5.082880926397329,0.9917423783557958,3.295975061155739,3.4855912558260624,4.343479099541773,5.08903131123024,5.770047784513343,6.7349798766203115,7.035880503066589,10,2020-03-11
8,14,5.764790691340085,1.3127425215083535,3.4519216089594917,3.6368391877054753,4.731536228759658,5.799739700005969,6.770264788308145,7.839634617220095,8.146359007719237,11,2020-03-12
9,15,6.284161319064893,1.7350183875033551,3.4442754021770674,3.6255853915112173,4.884819123957942,6.217851270889271,7.660077986486995,9.14542759914174,9.47468791379383,12,2020-03-13
10,16,6.3029984263448275,1.9893002033066502,3.233456108581464,3.398224390877449,4.662160163342587,6.117504006312675,7.905001039513655,9.681325028112209,10.082711932587948,13,2020-03-14
11,17,5.897274753752917,2.053311139990729,2.9158492167687187,3.0409681144804206,4.1958676773144425,5.602230217689643,7.512700198389282,9.537312978779099,9.921680117099175,14,2020-03-15
12,18,6.4745057190615505,2.3276220959147476,3.2200167807157754,3.3551919827066117,4.540763210965797,6.066425661413055,8.271025329487866,10.728858459332091,11.200450501449227,15,2020-03-16
13,19,5.709274619067827,2.030129401563939,2.9617780453524345,3.0646649022941124,4.0451437372380665,5.291015359976882,7.256144579140045,9.496441649110036,9.907852897850091,16,2020-03-17
14,20,4.609194466583756,1.5390790388223647,2.501596402348544,2.5944989379351204,3.3701473027792392,4.2978716382107365,5.728115007064396,7.5398762400050465,7.862827956545198,17,2020-03-18
15,21,3.8387034457459506,1.2013837212810445,2.1042501354889414,2.182586530369346,2.8760877470826003,3.637945001828186,4.723686206857476,6.0767386860784285,6.320588749687168,18,2020-03-19
16,22,3.5331628542056794,1.0865117658869563,1.9401877667718639,2.003142374738888,2.6354750972476624,3.3874316388205816,4.358808104131975,5.488312157821196,5.697121300438645,19,2020-03-20
17,23,3.091093041224733,0.9305488323772958,1.8199239045224167,1.8650501682702825,2.3050718402356845,2.9182356942448076,3.8392085614129257,4.782522576518895,4.9479754519690085,20,2020-03-21
18,24,2.7669695810332287,0.7465807815108441,1.8190367611090728,1.8555379338470412,2.1616842045778553,2.5764437978085626,3.324459031945715,4.208589611043719,4.363206715782167,21,2020-03-22
19,25,2.3295220224031055,0.49305643503490704,1.6553611595593116,1.6921733254557736,1.9531273146530328,2.222166818119055,2.653946299046218,3.3125338547895216,3.426856659302836,22,2020-03-23
20,26,2.2140018039816836,0.38221425509314055,1.6113912548202438,1.6455457275274552,1.9219054091521082,2.1822779142195685,2.4809267469143292,2.9082134246389253,2.9964697644500173,23,2020-03-24
21,27,2.1527341589032503,0.35905429926954324,1.5792304859035016,1.607714326929044,1.863265849055011,2.1348430227249233,2.44229253698503,2.750732640339309,2.811735171639185,24,2020-03-25
