Date,Confirmed,New,Hospitalised,ICU,Deaths,CFR,OutbreakNos,OutbreakCases,ImportedCases,HCWCases,AgeMedian,AgeRange,Community
2020-03-21,NA,124,NA,NA,NA,0.7,NA,NA,NA,NA,44,NA,NA
2020-03-23,328,199,66,14,1,0.6,26,79,25,75,45,NA,45
2020-03-24,219,219,35,8,6,0.9,3,6,17,38,46,NA,175
2020-03-25,256,256,79,12,8,1.3,13,22,12,54,46,NA,180
2020-03-26,265,265,70,8,12,1.7,12,34,15,70,46,NA,161
2020-03-27,312,312,75,10,10,NA,12,28,8,61,47,NA,223
2020-03-28,259,260,81,7,1,NA,8,49,13,72,47,NA,139
2020-03-29,202,205,58,29,20,NA,7,66,19,69,47,NA,70
2020-03-30,313,313,131,13,20,NA,16,69,9,105,48,NA,139
2020-03-31,292,292,98,8,7,NA,26,96,4,89,48,NA,107
2020-04-01,373,373,107,14,22,NA,11,-33,4,107,48,NA,299
2020-04-02,359,359,79,10,18,NA,35,212,5,136,48,NA,11
2020-04-03,429,430,85,7,20,NA,30,65,3,79,48,NA,286
2020-04-04,473,473,62,4,16,NA,24,86,2,100,49,NA,287
2020-04-05,677,677,80,25,37,NA,10,114,6,125,48,NA,438
2020-04-06,388,391,127,30,19,NA,29,185,5,180,48,NA,26
2020-04-07,463,460,49,6,34,NA,18,103,2,197,48,NA,160
2020-04-08,627,627,110,14,26,NA,22,121,4,184,48,NA,322
2020-04-09,716,716,87,9,31,NA,17,114,3,192,48,NA,410
2020-04-10,709,713,59,8,15,NA,27,27,1,171,48,NA,515
2020-04-11,988,988,72,7,33,NA,18,142,0,177,48,NA,669
2020-04-12,901,901,54,7,33,NA,7,204,2,218,48,NA,479
2020-04-13,876,876,65,5,40,NA,5,245,2,165,48,NA,466
2020-04-14,1164,1164,58,4,45,NA,12,207,1,218,48,NA,739
2020-04-15,587,587,56,10,41,NA,11,272,2,257,48,NA,58
2020-04-16,734,734,86,2,45,NA,18,241,3,226,48,NA,267
2020-04-17,856,865,65,7,39,NA,18,83,0,215,48,NA,567
2020-04-18,583,579,39,3,37,NA,6,92,1,221,48,NA,266
2020-04-19,279,287,51,9,77,NA,13,308,2,171,48,NA,-192
2020-04-20,407,464,64,7,38,NA,16,345,-2,213,48,NA,-94
2020-04-21,568,570,37,9,32,NA,15,304,2,152,48,NA,114
2020-04-22,981,986,62,7,32,NA,26,469,1,168,49,NA,349
2020-04-23,555,555,50,6,38,NA,19,414,3,134,49,NA,7
2020-04-24,456,469,40,5,23,NA,34,243,0,217,49,NA,9
2020-04-25,664,690,49,4,15,NA,3,50,2,140,49,NA,500
2020-04-26,288,415,13,5,27,NA,4,300,-3,210,49,NA,-95
2020-04-27,340,340,31,-3,38,NA,12,333,1,154,49,NA,-147
2020-04-28,388,388,37,5,33,NA,10,417,0,116,49,NA,-145
2020-04-29,399,399,62,7,38,NA,16,297,1,156,49,NA,-54
2020-04-30,232,232,17,1,17,NA,30,247,1,133,49,NA,-148
2020-05-01,322,359,40,-5,24,NA,18,100,2,95,49,NA,164
2020-05-02,373,373,15,1,14,NA,9,127,0,143,49,NA,103
2020-05-03,222,229,39,5,11,NA,3,86,0,82,49,NA,61
2020-05-04,249,249,-1,4,29,NA,4,270,-2,100,49,NA,-121
2020-05-05,278,278,13,3,24,NA,23,319,0,105,49,NA,-146
2020-05-06,115,115,24,-3,25,NA,4,167,1,88,49,NA,-140
2020-05-08,370,177,71,10,26,NA,13,214,-1,185,49,NA,-222
2020-05-09,223,278,12,0,14,NA,5,59,0,63,49,NA,156
