Date,Confirmed,Hospitalised,ICU,HCW,Cluster
2020-03-01,NA,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,1,NA,NA,NA,NA
2020-03-04,4,NA,NA,NA,NA
2020-03-05,7,NA,NA,NA,NA
2020-03-06,5,NA,NA,NA,NA
2020-03-07,1,NA,NA,NA,NA
2020-03-08,2,NA,NA,NA,NA
2020-03-09,3,NA,NA,NA,NA
2020-03-10,10,NA,NA,NA,NA
2020-03-11,9,NA,NA,NA,NA
2020-03-12,27,NA,NA,NA,NA
2020-03-13,20,NA,NA,NA,NA
2020-03-14,39,NA,NA,NA,NA
2020-03-15,40,NA,NA,NA,NA
2020-03-16,103,NA,NA,NA,NA
2020-03-17,79,24,1,25,3
2020-03-18,88,32,5,30,1
2020-03-19,146,33,1,33,2
2020-03-20,128,38,4,12,6
2020-03-21,124,28,8,49,2
2020-03-22,129,38,11,39,7
2020-03-23,181,28,3,36,19
2020-03-24,237,35,8,38,3
2020-03-25,256,79,12,54,13
2020-03-26,265,70,8,70,12
2020-03-27,312,75,10,61,12
2020-03-28,259,81,7,72,8
2020-03-29,202,58,29,96,7
2020-03-30,313,131,13,78,16
2020-03-31,292,98,8,89,26
2020-04-01,373,107,14,107,11
2020-04-02,359,79,10,136,35
2020-04-03,429,85,7,79,30
2020-04-04,473,62,4,100,24
2020-04-05,677,80,25,125,10
2020-04-06,388,127,30,180,29
2020-04-07,463,49,6,197,18
2020-04-08,627,110,14,184,22
2020-04-09,716,87,9,192,17
2020-04-10,709,59,8,171,26
2020-04-11,988,72,7,177,19
2020-04-12,901,54,7,218,7
2020-04-13,876,65,5,165,5
2020-04-14,1164,58,4,218,12
2020-04-15,587,56,10,257,11
2020-04-16,734,86,2,226,18
2020-04-17,856,65,7,215,18
2020-04-18,583,39,3,221,6
2020-04-19,279,51,9,171,13
2020-04-20,407,64,7,213,16
2020-04-21,568,37,9,152,15
2020-04-22,981,62,7,168,26
2020-04-23,555,50,6,134,19
2020-04-24,456,40,5,217,34
2020-04-25,664,48,4,140,3
2020-04-26,288,14,5,210,4
2020-04-27,440,31,-3,154,12
2020-04-28,288,37,5,116,10
2020-04-29,399,62,7,156,16
2020-04-30,232,17,1,133,30
2020-05-01,322,40,-5,95,18
2020-05-02,373,15,1,143,9
2020-05-03,222,39,5,82,3
2020-05-04,249,-1,4,100,4
2020-05-05,278,13,3,105,23
2020-05-06,115,24,-3,88,4
2020-05-07,194,39,8,83,9
2020-05-08,176,32,2,102,4
2020-05-09,223,12,0,63,5
2020-05-10,195,33,3,72,4
2020-05-11,55,19,3,91,7
2020-05-12,115,3,-2,126,0
2020-05-13,368,9,0,304,15
2020-05-14,152,32,2,103,3
2020-05-15,174,23,0,36,16
2020-05-16,83,10,2,49,5
2020-05-17,140,16,-1,46,1
2020-05-18,28,21,3,47,4
2020-05-19,70,19,-1,39,4
2020-05-20,77,11,1,44,9
2020-05-21,100,17,0,22,6
2020-05-22,118,11,1,6,15
2020-05-23,24,3,0,23,2
2020-05-24,36,8,1,10,0
2020-05-25,101,18,4,39,0
2020-05-26,65,16,5,29,4
2020-05-27,42,3,0,23,6
2020-05-28,33,9,4,12,5
2020-05-29,54,4,0,8,5
2020-05-30,61,3,0,5,0
2020-05-31,71,6,0,18,1
2020-06-01,8,6,1,18,5
2020-06-02,40,13,1,21,4
